WorkflowId,Workflow
B69E20AD-7692-49DA-BBFF-0000B1E1DB79,Start --> Master Data Add[Category][DI API] --> End
FC7FCB49-51BE-4F03-927C-000166FD943F,Start --> SAP B1 --> Mapper --> Magento
48719F41-8824-4262-9453-0001CB58ECDE,Start --> Akeneo Frank
A9714C35-8804-4F86-89B9-0006B4A96950,Start --> Magento --> Mapper --> Shopify
58B4F54E-691A-4F90-B64E-00099E7DFE27,Start --> WooCommerce --> Mapper --> ZOHO Desk
99D09577-F3E5-4C09-A121-001C49E3E1C0,Start --> Shopify --> Mapper --> Magento
CD7F757A-5F1D-4F9E-B233-001E54BB6D87,Start --> Magento --> Mapper --> Shopify
265C221A-A3A0-461A-A900-0026C9348375,Start --> Shopify --> Mapper --> SAP B1
55427E09-082B-4606-BF38-0026F1E61FD7,Start --> SAP B1 --> Mapper --> Magento
CB563009-0567-4146-A9A0-002B122FC2D0,Start --> Inventory Update --> End
BA658A66-4993-4DB2-928D-002F2CF5550D,Start --> Magento --> Mapper --> SAP B1 --> End
874285B8-D449-496A-A6D3-0032413185A2,Start --> Product Update with Variants
07DBB765-DA37-47AE-B043-0032CE9A3FD3,Start --> Shopify --> Mapper --> SAP B1
FC64D223-8BD5-4E8F-8A9B-00339E2213AD,Start
467D8A2F-F8B5-4709-9734-00371C6CBD40,Start
B54E7834-B753-45CD-8D11-0039F415F5EB,Start --> Magento
70FF3F56-CB7B-4242-9BA9-003A00117CB6,Start --> Customer Add
852F99B8-C930-4ED6-B27D-004638F8D66B,Start --> Order Item Add from SAP to SF --> End
90E283B4-BD3F-4374-B6B7-00485DD4DA15,Start --> Magento --> Mapper --> Shopify
8AB62E6E-34B5-42C9-9457-004910BA2188,Start --> Special Price Update [Custom]
D3EB9EE1-23E5-4582-875B-0051D98265C0,Start --> Magento --> Mapper --> WooCommerce
B0E7ACF6-084E-40ED-B285-00596CACA76B,Start --> Business Partner : Add
2BC689D9-F917-4028-BD03-006187799FD3,Start --> Product Add
